%time,field0,field1
1561004680320934057,28791.0,6235632.0
1561004680371082067,28787.0,6235120.0
1561004680397151947,28788.0,6235120.0
1561004680447227954,28778.0,6235632.0
1561004680520621061,28788.0,6235632.0
1561004680547251939,28790.0,6236656.0
1561004680597259044,28774.0,6234608.0
1561004680670433998,28788.0,6235120.0
1561004680720485925,28777.0,6235120.0
1561004680770493984,28784.0,6236656.0
1561004680820528984,28780.0,6235120.0
1561004680870454072,28770.0,6235120.0
1561004680920535087,28768.0,6235632.0
1561004680970551967,28781.0,6235632.0
1561004681020561933,28789.0,6235632.0
1561004681070688962,28787.0,6235632.0
1561004681120554924,28787.0,6235120.0
1561004681170533895,28786.0,6235120.0
1561004681197191953,28796.0,6235632.0
1561004681270765066,28792.0,6235120.0
1561004681320441007,28785.0,6236144.0
1561004681347172021,28782.0,6235120.0
1561004681397212028,28778.0,6236144.0
1561004681447094917,28775.0,6236144.0
1561004681497174024,28786.0,6236144.0
1561004681547439098,28785.0,6236144.0
1561004681597421884,28778.0,6236144.0
1561004681647766113,28773.0,6235632.0
1561004681697561025,28790.0,6234096.0
1561004681747204065,28791.0,6235632.0
1561004681797172069,28794.0,6235120.0
1561004681847203969,28793.0,6236144.0
1561004681897221088,28786.0,6235632.0
1561004681923760890,28786.0,6235120.0
1561004682020575046,28798.0,6235120.0
1561004682070708990,28782.0,6235632.0
1561004682120588064,28778.0,6234608.0
1561004682170525074,28783.0,6236144.0
1561004682220587015,28788.0,6235120.0
1561004682270492076,28778.0,6236144.0
1561004682297101020,28776.0,6235632.0
1561004682347281932,28774.0,6235632.0
1561004682397245883,28781.0,6235632.0
1561004682447367906,28787.0,6235632.0
1561004682497622013,28778.0,6235120.0
1561004682571173906,28781.0,6236144.0
1561004682597798109,28781.0,6235632.0
1561004682647135019,28795.0,6235120.0
1561004682697196006,28768.0,6235632.0
1561004682747157096,28779.0,6235120.0
1561004682797131061,28783.0,6235632.0
1561004682823729038,28782.0,6235120.0
1561004682897111892,28786.0,6235632.0
