time	IR (20)	baro(20)
4448808	21419	1671.45
4495128	21408	1660.55
4541444	21349	1650.58
4587764	21310	1641.65
4634088	21283	1633.52
4680420	21228	1626.43
4726736	21229	1620.26
4773048	21165	1615.01
4819356	21073	1610.02
4865656	20938	1605.43
4911968	20769	1601.23
4958276	20457	1597.16
5004592	20068	1593.48
5050904	19821	1590.07
5097224	19587	1587.05
5143532	19317	1584.43
5189832	19094	1581.8
5236132	18763	1579.83
5282440	18384	1578.13
5328760	17973	1576.03
5375076	17574	1573.8
5421392	17206	1571.57
5467680	16899	1569.33
5513992	16641	1567.5
5560308	16417	1565.53
5606612	16236	1563.82
5652908	16008	1561.98
5699216	15802	1560.41
5745540	15565	1559.1
5791852	15345	1557.92
5838168	15177	1557.13
5884476	14915	1556.34
5930796	14303	1555.82
5977124	13603	1555.55
6023448	13216	1555.55
6069776	13010	1555.42
6116096	12874	1555.55
6162408	12750	1555.29
6208720	12653	1555.16
6255028	12577	1555.29
6301336	12528	1555.29
6347656	12472	1555.29
6393968	12417	1555.55
6440268	12368	1555.55
6486568	12314	1555.55
6532888	12284	1555.68
6579200	12241	1555.68
6625524	12212	1555.55
6671844	12182	1555.68
6718160	12145	1555.55
6764480	12116	1555.68
6810796	12078	1555.82
6857108	12049	1555.82
6903424	12024	1555.68
6949752	11992	1555.95
6996064	11966	1555.95
7042376	11944	1555.95
7088676	11917	1555.95
7134992	11884	1556.08
7181308	11867	1556.08
7227616	11836	1556.21
7273904	11818	1556.21
7320216	11793	1556.34
7366536	11773	1556.34
7412848	11749	1556.34
7459152	11731	1556.34
7505460	11710	1556.47
7551780	11708	1556.47
7598096	11725	1556.47
7644420	11740	1556.6
7690736	11741	1556.73
7737064	11731	1556.73
7783376	11741	1556.73
7829688	11745	1556.73
7876004	11746	1556.73
7922324	11748	1556.73
7968648	11756	1556.87
8014956	11755	1556.87
8061268	11755	1557
8107576	11763	1556.87
8153884	11765	1557
8200176	11771	1557
8246480	11766	1557
8292764	11772	1557.13
8339064	11776	1557
8385392	11784	1557.13
8431696	11788	1557.13
8478000	11781	1557.13
8524308	11791	1557.26
8570628	11790	1557.26
8616944	11796	1557.26
8663256	11792	1557.26
8709572	11797	1557.39
8755884	11802	1557.39
8802200	11802	1557.26
8848520	11805	1557.39
8894832	11810	1557.52
8941136	11801	1557.52
8987472	11815	1557.52
9033812	11807	1557.52
9080124	11816	1557.52
9126444	11820	1557.52
9172764	11824	1557.65
9219076	11830	1557.65
9265388	11820	1557.78
9311704	11824	1557.65
9358016	11838	1557.52
9404332	11832	1557.78
9450656	11828	1557.78
9496980	11842	1557.78
9543292	11842	1557.78
9589628	11839	1557.92
9635944	11841	1557.92
9682248	11840	1557.92
9728552	11838	1558.05
9774868	11851	1558.05
9821176	11848	1558.05
9867476	11842	1558.18
9913764	11855	1558.05
9960068	11854	1558.05
6392	11858	1558.18
52696	11858	1558.18
99000	11852	1558.31
145312	11857	1558.31
191632	11865	1558.31
237940	11859	1558.31
284264	11866	1558.44
330592	11866	1558.31
376924	11870	1558.57
423248	11868	1558.44
469556	11880	1558.57
515872	11878	1558.44
562184	11872	1558.57
608512	11875	1558.57
654820	11880	1558.44
701140	11884	1558.57
747448	11886	1558.57
793764	11881	1558.57
840080	11886	1558.7
886408	11887	1558.7
932736	11891	1558.7
979052	11889	1558.7
1025364	11888	1558.97
1071672	11893	1558.83
1117980	11901	1558.97
1164304	11900	1558.7
1210628	11900	1558.83
1256932	11899	1558.97
1303228	11906	1558.97
1349532	11904	1558.83
1395848	11905	1558.97
1442160	11909	1558.97
1488468	11911	1558.97
1534768	11903	1558.97
1581076	11906	1558.97
1627396	11914	1559.1
1673704	11919	1559.1
1720000	11925	1558.97
1766308	11927	1559.1
1812616	11953	1559.1
1858928	11974	1559.1
1905248	12005	1559.23
1951556	12024	1559.1
1997880	12041	1559.23
2044196	12076	1559.23
2090516	12110	1559.23
2136840	12139	1559.23
2183172	12166	1559.36
2229508	12198	1559.36
2275820	12232	1559.36
2322136	12260	1559.36
2368460	12292	1559.36
2414776	12323	1559.36
2461112	12360	1559.49
2507428	12389	1559.49
2553744	12429	1559.49
2600056	12466	1559.36
2646372	12503	1559.49
2692688	12533	1559.49
2738992	12569	1559.49
2785304	12609	1559.49
2831620	12655	1559.49
2877936	12691	1559.62
2924240	12735	1559.62
2970540	12766	1559.75
3016860	12815	1559.49
3063172	12858	1559.62
3109492	12901	1560.02
3155812	12948	1560.67
3202136	12998	1562.12
3248444	13045	1564.08
3294764	13096	1566.45
3341068	13140	1569.33
3387372	13200	1572.35
3433724	13268	1576.29
3480036	13498	1580.36
3526340	14029	1584.43
3572644	14425	1589.02
3618960	14664	1594.01
3665272	14894	1599.26
3711572	15079	1604.77
3757872	15252	1611.07
3804188	15419	1617.5
3850492	15596	1624.2
3896792	15801	1631.42
3943108	16014	1638.24
3989400	16202	1645.59
4035712	16387	1652.42
4082024	16538	1660.03
4128340	16630	1668.03
4174644	16676	1676.7
4220936	16670	1685.62
4267252	16638	1694.94
4313568	16585	1704.52
4359876	16512	1714.37
4406176	16458	1724.08
4452492	16408	1734.18
4498796	16393	1745.08
4545104	16345	1755.71
4591404	16285	1766.6
4637704	16200	1777.76
4684028	16094	1788.92
4730328	16025	1800.2
4776644	15955	1811.75
4822944	16480	1823.83
4869256	17064	1835.9
4915564	17431	1848.37
4961872	18317	1861.37
5008168	19124	1874.36
5054484	19583	1887.48
5100804	19875	1900.87
5147112	20129	1914.65
5193420	20304	1929.09
5239728	20588	1944.58
5286032	20813	1960.72
5332340	21145	1977.52
5378652	21321	1990.38
5424956	21438	1964.53
5471260	21473	1914.39
5517576	21488	1876.85
5563892	21474	1846.27
5610204	21443	1819.5
5656504	21426	1795.22
5702812	21415	1773.17
5749144	21420	1753.22
5795480	21418	1734.71
5841816	21457	1717.78
5888136	21474	1702.55
5934448	21489	1688.9
5980764	21487	1676.43
6027064	21510	1665.02
6073360	21473	1654.52
6119680	21401	1645.07
6165984	21357	1636.53
6212288	21330	1629.05
6258576	21303	1622.23
6304884	21272	1616.58
6351196	21176	1611.6
6397504	21074	1606.87
6443804	20928	1602.54
6490112	20716	1598.34
6536436	20344	1594.4
6582752	20009	1590.86
6629056	19780	1587.71
6675348	19529	1584.69
6721676	19209	1582.2
6767984	18858	1579.7
6814292	18449	1578.13
6860596	18088	1576.16
6906908	17682	1573.93
6953224	17308	1571.7
6999536	16983	1569.33
7045848	16704	1567.5
7092160	16485	1565.79
7138472	16287	1564.08
