Loop Time (ms)	IR (16 bit)	Force (N)
64	10716	1534.34
64	10717	1534.21
64	10712	1534.21
64	10720	1534.21
80	10717	1534.21
64	10717	1534.21
64	10719	1534.34
64	10716	1534.21
64	10718	1534.21
64	10719	1534.08
64	10720	1534.21
64	10719	1534.34
63	10720	1534.21
65	10718	1534.34
64	10719	1534.34
64	10722	1534.21
80	10722	1534.21
63	10716	1534.21
65	10722	1534.21
63	10720	1534.21
65	10719	1534.21
64	10720	1534.21
64	10717	1534.08
63	10717	1534.21
64	10720	1534.21
64	10725	1534.21
65	10718	1534.21
64	10721	1534.34
64	10718	1534.34
79	10723	1534.21
64	10718	1534.34
64	10721	1534.34
64	10718	1534.34
64	10718	1534.21
64	10724	1534.21
64	10721	1534.21
64	10719	1534.34
64	10719	1534.21
64	10717	1534.34
64	10722	1534.21
64	10720	1534.34
80	10718	1534.21
64	10720	1534.21
64	10720	1534.21
64	10718	1534.21
64	10719	1534.34
63	10716	1534.21
65	10719	1534.21
63	10722	1534.34
65	10719	1534.34
64	10721	1534.21
64	10718	1534.21
64	10721	1534.21
80	10718	1534.34
64	10719	1534.34
64	10721	1534.21
63	10720	1534.21
64	10724	1534.34
65	10715	1534.34
64	10718	1534.08
64	10717	1534.34
63	10718	1534.21
65	10718	1534.34
63	10718	1534.34
65	10723	1534.21
80	10719	1534.34
63	10724	1534.34
64	10730	1534.21
64	10749	1534.34
63	10764	1534.21
65	10776	1534.34
63	10792	1534.21
65	10808	1534.34
63	10822	1534.21
65	10846	1534.21
63	10857	1534.21
65	10870	1534.08
80	10888	1534.21
63	10914	1534.21
65	10934	1534.21
64	10956	1534.21
64	10977	1534.21
64	11000	1534.34
64	11015	1534.34
64	11036	1534.34
63	11062	1534.21
64	11089	1534.34
65	11116	1534.34
63	11140	1534.21
80	11162	1534.21
64	11191	1534.34
64	11220	1534.34
65	11246	1534.21
63	11276	1534.21
64	11304	1534.34
64	11335	1534.21
65	11361	1534.21
63	11389	1534.21
64	11421	1534.34
64	11460	1534.21
64	11496	1534.21
80	11528	1534.34
64	11560	1534.21
64	11601	1534.34
64	11646	1534.21
64	11692	1534.21
63	11732	1534.34
65	11772	1534.21
64	11822	1534.34
63	11871	1534.21
64	11915	1534.21
65	11963	1534.21
63	12021	1534.21
81	12070	1534.34
63	12115	1534.47
65	12167	1534.72
64	12224	1535.23
63	12272	1535.49
65	12334	1536
64	12401	1536.77
63	12461	1537.41
65	12434	1537.02
63	12364	1536.39
64	12304	1535.62
65	12246	1535.23
79	12191	1534.85
64	12144	1534.6
64	12098	1534.47
64	12041	1534.34
64	11992	1534.34
64	11942	1534.34
64	11899	1534.34
63	11846	1534.47
64	11797	1534.47
65	11762	1534.34
64	11710	1534.34
63	11671	1534.47
80	11627	1534.34
65	11586	1534.34
63	11547	1534.21
65	11510	1534.34
64	11481	1534.34
64	11442	1534.34
64	11410	1534.34
63	11382	1534.34
64	11347	1534.34
64	11316	1534.34
64	11292	1534.34
64	11259	1534.21
80	11240	1534.34
64	11207	1534.21
64	11183	1534.21
64	11158	1534.34
64	11130	1534.34
64	11105	1534.34
64	11080	1534.34
64	11053	1534.21
64	11032	1534.34
64	11010	1534.34
64	10992	1534.34
64	10968	1534.21
80	10945	1534.34
64	10933	1534.34
64	10910	1534.34
64	10893	1534.34
64	10872	1534.34
64	10853	1534.21
64	10835	1534.21
64	10821	1534.34
63	10803	1534.34
65	10787	1534.21
64	10772	1534.34
63	10758	1534.21
80	10745	1534.21
64	10729	1534.21
65	10715	1534.34
64	10719	1534.34
63	10724	1534.21
65	10720	1534.21
63	10723	1534.21
64	10721	1534.34
64	10722	1534.34
64	10724	1534.21
64	10722	1534.34
64	10724	1534.34
80	10719	1534.34
64	10720	1534.21
64	10721	1534.34
64	10720	1534.34
64	10725	1534.34
64	10725	1534.21
63	10720	1534.34
64	10723	1534.34
64	10723	1534.34
65	10722	1534.21
63	10722	1534.34
65	10723	1534.21
79	10720	1534.34
65	10720	1534.21
64	10720	1534.34
63	10721	1534.08
64	10719	1534.21
64	10720	1534.21
65	10725	1534.34
63	10723	1534.34
64	10723	1534.21
65	10726	1534.34
63	10722	1534.34
64	10719	1534.34
80	10720	1534.21
64	10726	1534.21
64	10723	1534.34
64	10726	1534.34
63	10723	1534.21
65	10726	1534.21
64	10719	1534.34
64	10724	1534.34
64	10722	1534.34
64	10724	1534.21
63	10720	1534.34
64	10722	1534.47
65	10726	1534.34
80	10722	1534.34
64	10721	1534.34
64	10725	1534.34
63	10725	1534.34
64	10724	1534.34
64	10727	1534.34
64	10728	1534.34
65	10719	1534.34
64	10725	1534.47
64	10723	1534.34
63	10721	1534.21
64	10723	1534.34
81	10725	1534.34
63	10723	1534.34
64	10723	1534.34
64	10725	1534.34
64	10720	1534.47
64	10724	1534.34
64	10722	1534.47
64	10722	1534.21
64	10722	1534.34
64	10725	1534.34
64	10724	1534.34
64	10726	1534.21
79	10722	1534.21
65	10723	1534.21
64	10722	1534.21
64	10726	1534.21
64	10723	1534.34
63	10725	1534.34
65	10723	1534.21
64	10725	1534.34
64	10723	1534.21
63	10726	1534.34
64	10726	1534.34
64	10728	1534.34
81	10719	1534.34
64	10725	1534.21
63	10726	1534.21
65	10724	1534.34
64	10719	1534.34
63	10724	1534.21
65	10722	1534.34
63	10721	1534.21
64	10724	1534.34
64	10727	1534.34
64	10725	1534.21
64	10726	1534.34
80	10722	1534.34
64	10732	1534.34
64	10748	1534.34
64	10758	1534.34
64	10771	1534.21
64	10786	1534.34
64	10807	1534.34
64	10826	1534.34
64	10839	1534.34
63	10850	1534.21
65	10876	1534.34
63	10887	1534.34
81	10912	1534.34
63	10933	1534.34
65	10946	1534.21
63	10966	1534.34
64	10988	1534.34
64	11009	1534.21
64	11030	1534.34
64	11055	1534.34
64	11082	1534.47
65	11104	1534.21
63	11124	1534.21
65	11160	1534.34
80	11184	1534.34
63	11209	1534.34
64	11234	1534.34
65	11261	1534.34
63	11292	1534.34
64	11319	1534.47
64	11351	1534.34
64	11382	1534.34
65	11410	1534.34
63	11447	1534.34
64	11475	1534.21
64	11512	1534.34
80	11542	1534.47
64	11587	1534.34
64	11633	1534.34
64	11671	1534.34
64	11714	1534.34
64	11757	1534.34
64	11796	1534.34
63	11846	1534.34
64	11895	1534.34
64	11940	1534.34
64	11995	1534.34
65	12042	1534.34
80	12099	1534.47
64	12138	1534.72
63	12194	1534.98
64	12249	1535.36
64	12304	1535.87
65	12368	1536.51
63	12428	1537.02
65	12470	1537.41
63	12418	1536.9
64	12351	1536.13
64	12289	1535.62
64	12229	1535.11
80	12182	1534.85
64	12132	1534.6
64	12083	1534.47
64	12037	1534.47
64	11979	1534.47
64	11930	1534.34
64	11884	1534.47
64	11839	1534.34
65	11788	1534.47
63	11742	1534.34
64	11703	1534.34
64	11669	1534.34
80	11627	1534.34
64	11576	1534.47
64	11549	1534.34
63	11505	1534.34
65	11475	1534.34
63	11442	1534.34
65	11408	1534.34
63	11371	1534.34
65	11344	1534.34
64	11311	1534.34
63	11280	1534.34
65	11252	1534.34
79	11230	1534.34
65	11205	1534.47
63	11179	1534.34
64	11159	1534.34
65	11131	1534.34
64	11104	1534.21
63	11072	1534.47
64	11047	1534.34
63	11026	1534.34
65	11007	1534.34
64	10985	1534.47
64	10963	1534.21
79	10950	1534.34
65	10925	1534.34
63	10912	1534.34
64	10883	1534.47
66	10868	1534.34
62	10855	1534.34
65	10835	1534.47
