Loop Time (ms)	IR (16 bit)	Force (N)
65	8717	1528.97
79	8723	1529.1
65	8743	1528.97
63	8754	1528.97
64	8756	1529.23
64	8764	1529.23
65	8773	1529.23
63	8787	1529.36
65	8795	1529.48
63	8797	1529.61
64	8801	1529.61
64	8811	1529.87
64	8813	1529.99
80	8820	1530.12
64	8820	1530.25
63	8829	1530.38
65	8834	1530.51
64	8829	1530.76
64	8850	1531.02
64	8855	1531.02
64	8871	1531.27
63	8888	1531.53
64	8899	1531.53
64	8908	1531.66
64	8922	1531.91
81	8932	1532.04
63	8949	1532.17
65	8964	1532.3
63	8971	1532.55
65	8976	1532.68
63	8990	1532.68
64	8999	1533.06
64	9001	1532.93
64	9006	1533.32
64	9009	1533.45
64	9017	1533.45
64	9016	1533.57
80	9023	1533.83
64	9027	1533.83
64	9031	1533.96
64	9040	1534.08
64	9036	1534.21
65	9040	1534.34
62	9052	1534.34
65	9059	1534.47
64	9069	1534.6
63	9076	1534.6
65	9086	1534.72
65	9091	1534.72
79	9098	1534.72
64	9108	1534.98
64	9113	1534.98
64	9119	1535.11
63	9126	1535.11
64	9138	1535.23
64	9137	1535.36
65	9146	1535.36
64	9154	1535.36
63	9158	1535.49
64	9161	1535.36
64	9169	1535.36
80	9182	1535.36
64	9179	1535.36
64	9187	1535.49
65	9189	1535.36
63	9195	1535.36
64	9206	1535.36
64	9208	1535.49
64	9210	1535.36
65	9216	1535.36
63	9223	1535.36
64	9224	1535.49
64	9221	1535.36
80	9233	1535.36
64	9229	1535.36
64	9236	1535.49
64	9240	1535.36
64	9249	1535.36
63	9253	1535.36
65	9258	1535.49
64	9258	1535.36
63	9264	1535.49
65	9268	1535.49
66	9271	1535.36
63	9270	1535.36
79	9279	1535.36
64	9283	1535.36
63	9295	1535.49
65	9291	1535.49
64	9300	1535.49
63	9295	1535.49
64	9307	1535.36
65	9308	1535.36
63	9315	1535.36
64	9319	1535.36
64	9331	1535.36
64	9323	1535.36
80	9335	1535.36
65	9336	1535.36
64	9335	1535.36
62	9342	1535.49
64	9343	1535.49
65	9347	1535.36
64	9350	1535.36
64	9354	1535.36
64	9357	1535.36
65	9363	1535.49
63	9367	1535.49
63	9360	1535.36
80	9367	1535.36
64	9372	1535.36
65	9373	1535.49
64	9377	1535.49
64	9384	1535.49
64	9381	1535.36
64	9390	1535.49
64	9389	1535.36
63	9398	1535.49
64	9399	1535.49
65	9404	1535.49
63	9400	1535.49
80	9408	1535.49
64	9408	1535.49
64	9409	1535.36
64	9413	1535.49
64	9413	1535.36
64	9421	1535.49
64	9421	1535.36
64	9422	1535.36
64	9422	1535.49
64	9427	1535.49
63	9429	1535.49
64	9433	1535.49
81	9443	1535.49
64	9442	1535.49
63	9440	1535.36
64	9444	1535.36
64	9448	1535.36
65	9455	1535.49
63	9459	1535.49
64	9471	1535.49
65	9475	1535.49
64	9485	1535.36
64	9492	1535.36
63	9496	1535.36
81	9507	1535.36
63	9508	1535.49
64	9516	1535.36
64	9519	1535.36
64	9527	1535.36
65	9532	1535.36
64	9540	1535.49
66	9544	1535.36
61	9552	1535.49
64	9563	1535.36
64	9562	1535.49
64	9569	1535.49
80	9580	1535.49
66	9585	1535.36
62	9595	1535.36
64	9599	1535.36
63	9606	1535.36
65	9614	1535.36
64	9625	1535.36
64	9625	1535.49
64	9638	1535.49
64	9636	1535.49
64	9648	1535.36
