Loop Time (ms)	IR (16 bit)	Force (N)
80	10484	1532.81
64	10485	1532.93
64	10477	1532.93
64	10483	1532.93
64	10486	1532.81
64	10486	1532.93
64	10485	1532.81
64	10486	1532.81
63	10486	1532.93
65	10486	1532.93
64	10485	1533.06
63	10486	1532.93
65	10484	1533.06
80	10487	1533.06
64	10483	1533.06
63	10483	1532.93
64	10487	1532.81
64	10486	1532.93
64	10485	1532.93
64	10485	1532.93
65	10485	1532.93
63	10486	1532.93
65	10486	1532.93
64	10488	1533.06
64	10498	1532.93
79	10513	1533.06
64	10523	1533.06
64	10538	1532.93
65	10551	1532.81
63	10564	1533.06
64	10584	1532.93
64	10599	1532.93
64	10619	1532.93
64	10633	1532.93
64	10648	1532.93
64	10668	1532.93
63	10687	1533.06
80	10702	1532.93
65	10730	1532.93
64	10739	1532.93
63	10765	1532.93
65	10785	1532.81
64	10808	1532.93
63	10830	1532.93
65	10855	1532.93
63	10878	1532.68
64	10903	1532.93
65	10928	1532.93
63	10953	1533.06
80	10979	1532.93
65	11010	1532.93
63	11036	1532.93
64	11065	1533.06
64	11092	1533.06
64	11130	1532.93
65	11162	1532.93
63	11192	1533.06
64	11227	1532.93
64	11257	1533.06
64	11296	1532.93
64	11331	1532.93
80	11368	1533.06
63	11408	1532.81
65	11449	1532.93
64	11490	1533.06
64	11527	1532.81
63	11572	1532.93
64	11624	1532.93
65	11669	1533.06
64	11718	1532.81
64	11768	1533.06
64	11818	1533.19
64	11859	1533.32
80	11907	1533.7
63	11963	1533.96
65	12021	1534.6
64	12082	1535.23
63	12149	1536
65	12223	1536.77
64	12305	1537.66
64	12397	1538.69
64	12496	1539.84
63	12613	1541.11
64	12725	1542.52
64	12831	1544.05
80	12924	1545.72
64	12948	1546.74
64	12940	1545.2
64	12857	1543.54
64	12696	1542.14
64	12568	1540.73
64	12469	1539.45
64	12372	1538.43
64	12288	1537.28
64	12206	1536.51
63	12138	1535.62
65	12071	1534.85
80	12013	1534.34
64	11963	1533.83
64	11907	1533.45
64	11864	1533.32
64	11815	1533.19
64	11765	1532.93
64	11713	1533.06
63	11668	1533.06
64	11621	1532.93
65	11572	1532.93
63	11533	1533.06
64	11494	1533.06
80	11450	1532.93
64	11415	1532.93
64	11374	1533.06
64	11335	1532.93
64	11299	1532.93
64	11266	1532.93
64	11231	1532.93
64	11196	1532.93
63	11165	1532.93
64	11133	1532.93
65	11098	1532.93
64	11065	1533.06
79	11042	1532.81
65	11019	1532.93
64	10989	1532.93
64	10959	1532.93
63	10939	1532.81
65	10908	1532.93
63	10888	1532.93
65	10860	1532.93
63	10837	1532.93
64	10814	1532.93
65	10794	1532.93
63	10773	1532.93
80	10750	1532.93
64	10731	1532.93
65	10715	1532.93
63	10694	1532.93
64	10678	1532.93
64	10660	1532.93
65	10642	1532.93
63	10627	1532.93
64	10607	1533.06
64	10594	1532.93
64	10580	1533.06
64	10566	1532.93
80	10551	1532.93
64	10539	1532.93
63	10524	1533.06
65	10508	1532.93
63	10494	1532.93
65	10492	1532.93
64	10499	1532.93
63	10500	1532.93
64	10499	1532.93
65	10502	1532.93
64	10501	1532.93
64	10500	1532.93
80	10501	1533.06
64	10502	1533.06
64	10498	1532.93
64	10503	1532.93
63	10504	1533.06
64	10506	1533.06
64	10504	1533.06
65	10502	1532.93
63	10503	1533.06
64	10504	1533.06
64	10502	1532.93
64	10506	1532.93
80	10505	1533.06
64	10505	1532.93
64	10503	1532.93
64	10504	1532.93
64	10500	1532.93
63	10505	1533.19
65	10502	1532.93
64	10503	1532.81
64	10500	1533.06
64	10503	1532.93
63	10504	1533.06
65	10507	1533.06
80	10505	1532.93
64	10509	1532.93
64	10507	1533.06
64	10504	1533.06
64	10504	1533.06
63	10502	1532.93
64	10506	1532.93
64	10508	1533.06
64	10507	1532.93
65	10505	1532.93
63	10508	1532.93
64	10505	1533.06
80	10507	1533.06
64	10506	1533.06
64	10507	1533.06
64	10508	1533.06
64	10508	1532.93
64	10510	1533.06
64	10505	1532.93
64	10506	1533.06
64	10509	1532.93
64	10505	1532.93
64	10508	1532.93
64	10505	1532.93
80	10509	1533.06
64	10508	1533.19
64	10506	1533.06
64	10509	1533.06
64	10506	1533.06
64	10511	1533.06
64	10512	1533.06
64	10508	1533.06
64	10509	1533.06
64	10506	1533.06
64	10514	1532.93
64	10514	1532.93
64	10510	1533.06
79	10510	1533.06
64	10509	1532.93
64	10512	1532.93
64	10516	1532.93
65	10507	1533.06
64	10511	1533.06
63	10514	1533.06
