Loop Time (ms)	IR (16 bit)	Force (N)
64	10836	1531.14
80	10864	1531.14
64	10904	1531.14
64	10946	1531.02
64	10979	1531.14
64	11015	1531.14
63	11059	1531.14
64	11098	1531.14
65	11138	1531.14
64	11178	1531.14
64	11224	1531.14
64	11272	1531.14
64	11316	1531.14
80	11362	1531.27
64	11402	1531.4
64	11447	1531.53
64	11489	1532.04
63	11545	1532.55
64	11602	1533.06
65	11652	1533.57
64	11727	1534.34
63	11798	1535.23
65	11874	1536.13
63	11972	1537.15
64	12077	1538.3
81	12187	1539.71
64	12285	1541.11
64	12368	1542.65
63	12434	1544.31
64	12456	1546.1
64	12440	1547.89
64	12436	1549.81
65	12434	1551.98
63	12446	1554.28
64	12490	1556.84
64	12567	1559.26
64	12673	1562.08
80	12807	1564.76
64	12930	1567.57
64	13058	1570.26
63	13189	1573.07
65	13370	1575.75
63	13571	1578.18
65	14103	1580.86
64	14532	1583.16
64	14830	1585.47
63	15141	1587.51
65	15375	1589.43
64	15645	1591.22
80	15872	1592.62
63	15915	1594.03
64	15958	1594.16
65	15967	1592.24
64	16026	1589.43
63	16078	1586.23
64	16084	1582.78
65	16050	1579.33
63	15960	1575.62
64	15874	1571.28
64	15752	1567.32
64	15599	1563.48
80	15338	1559.9
65	14978	1556.45
63	14467	1553.13
64	13753	1550.32
64	12788	1547.76
64	11915	1545.59
64	11287	1543.54
64	10831	1541.88
64	10522	1540.48
64	10278	1539.07
65	10097	1537.79
63	9919	1536.26
80	9827	1535.11
64	9821	1534.34
63	9822	1533.7
65	9829	1532.93
63	9857	1532.3
65	9880	1531.66
64	9908	1531.27
64	9936	1530.76
64	9959	1530.51
64	9983	1530.38
64	10005	1530.25
64	10026	1530.12
79	10032	1529.87
64	10041	1529.87
65	10048	1529.87
63	10035	1529.99
64	10041	1529.99
64	10029	1529.99
64	10028	1530.25
64	10035	1530.25
64	10044	1530.38
64	10053	1530.25
64	10056	1530.38
64	10055	1530.38
80	10041	1530.38
64	10028	1530.51
64	10017	1530.25
64	10000	1530.51
64	9981	1530.51
64	9970	1530.51
64	9953	1530.38
64	9937	1530.51
64	9924	1530.51
64	9907	1530.51
64	9893	1530.51
63	9883	1530.51
80	9865	1530.63
65	9854	1530.63
64	9848	1530.63
63	9842	1530.76
64	9839	1530.63
65	9834	1530.51
64	9833	1530.63
63	9823	1530.51
64	9816	1530.63
65	9810	1530.63
63	9811	1530.63
65	9803	1530.76
79	9796	1530.76
64	9791	1530.63
64	9785	1530.63
64	9780	1530.76
65	9773	1530.63
63	9768	1530.76
64	9766	1530.63
65	9759	1530.76
63	9753	1530.76
64	9751	1530.76
65	9746	1530.76
63	9741	1530.76
64	9740	1530.63
80	9732	1530.89
63	9732	1530.76
65	9731	1530.76
64	9732	1530.89
63	9748	1530.76
65	9757	1530.76
64	9765	1530.76
64	9779	1530.76
63	9783	1530.76
65	9790	1530.89
63	9798	1530.89
65	9806	1530.76
79	9816	1530.89
64	9826	1530.89
64	9828	1530.76
65	9831	1530.76
63	9841	1530.89
64	9845	1530.76
64	9848	1530.89
64	9852	1530.89
64	9863	1530.89
64	9866	1530.89
64	9873	1530.89
64	9879	1531.02
80	9884	1530.89
64	9886	1530.89
64	9896	1530.89
64	9895	1530.89
64	9901	1530.89
64	9904	1530.89
64	9921	1530.89
64	9930	1531.02
64	9935	1530.76
64	9940	1530.89
63	9942	1530.89
65	9946	1530.89
80	9951	1530.89
63	9957	1530.89
65	9959	1530.89
64	9960	1530.89
63	9966	1531.02
64	9970	1530.89
64	9969	1531.02
65	9976	1531.02
64	9979	1530.89
64	9985	1530.89
63	9985	1531.02
64	9987	1531.02
80	9993	1531.02
64	9994	1531.02
64	9998	1531.02
65	10003	1531.02
63	10009	1531.02
64	10014	1531.02
64	10017	1530.89
64	10017	1531.02
64	10021	1531.02
64	10026	1531.02
64	10031	1531.02
64	10028	1531.02
80	10036	1531.02
64	10037	1530.89
64	10038	1531.02
64	10042	1531.14
64	10042	1531.02
64	10051	1531.02
64	10050	1531.02
63	10053	1531.14
64	10056	1531.14
65	10063	1531.02
63	10058	1531.14
65	10062	1531.02
80	10065	1531.02
63	10068	1531.02
64	10071	1531.02
65	10074	1531.02
63	10077	1531.02
64	10075	1531.02
64	10077	1531.14
64	10078	1531.14
64	10082	1531.02
64	10086	1531.14
64	10083	1531.14
64	10087	1531.02
80	10087	1531.14
64	10091	1531.14
64	10091	1531.14
64	10095	1531.14
64	10092	1531.02
64	10093	1531.14
63	10097	1531.02
65	10095	1531.14
64	10100	1531.14
63	10099	1531.27
65	10102	1531.02
64	10098	1531.14
80	10100	1531.14
64	10104	1531.14
64	10105	1531.14
64	10119	1531.14
63	10131	1531.14
64	10144	1531.02
65	10161	1531.14
63	10173	1531.14
65	10192	1531.14
64	10207	1531.14
63	10224	1531.14
65	10240	1531.14
79	10256	1531.14
64	10271	1531.14
64	10294	1531.14
64	10309	1531.14
64	10332	1531.27
64	10349	1531.14
64	10368	1531.14
64	10389	1531.02
64	10414	1531.14
65	10432	1531.14
63	10453	1531.14
64	10479	1531.14
80	10505	1531.14
64	10525	1531.27
64	10549	1531.02
64	10576	1531.14
63	10597	1531.27
64	10628	1531.14
65	10650	1531.14
63	10679	1531.27
64	10708	1531.27
64	10741	1531.14
65	10766	1531.14
63	10807	1531.14
80	10834	1531.14
65	10871	1531.14
